repo,type,link,severity,package
multiversx/mx-chain-go,dependabot,https://github.com/multiversx/mx-chain-go/security/dependabot/27,medium,
multiversx/mx-chain-go,dependabot,https://github.com/multiversx/mx-chain-go/security/dependabot/26,high,
multiversx/mx-chain-go,dependabot,https://github.com/multiversx/mx-chain-go/security/dependabot/25,medium,
multiversx/mx-chain-go,dependabot,https://github.com/multiversx/mx-chain-go/security/dependabot/22,medium,
multiversx/mx-chain-go,dependabot,https://github.com/multiversx/mx-chain-go/security/dependabot/20,critical,
multiversx/mx-chain-go,dependabot,https://github.com/multiversx/mx-chain-go/security/dependabot/18,high,
multiversx/mx-chain-go,dependabot,https://github.com/multiversx/mx-chain-go/security/dependabot/16,medium,
multiversx/mx-chain-go,advisory,https://github.com/multiversx/mx-chain-go/security/advisories/GHSA-j494-7x2v-vvvp,high,
multiversx/mx-chain-go,advisory,https://github.com/multiversx/mx-chain-go/security/advisories/GHSA-7xpv-4pm9-xch2,high,
multiversx/mx-chain-go,advisory,https://github.com/multiversx/mx-chain-go/security/advisories/GHSA-p228-4mrh-ww7r,medium,
multiversx/mx-chain-go,advisory,https://github.com/multiversx/mx-chain-go/security/advisories/GHSA-mv8x-668m-53fg,medium,
multiversx/mx-chain-go,advisory,https://github.com/multiversx/mx-chain-go/security/advisories/GHSA-qf7j-25g9-r63f,critical,
multiversx/mx-chain-go,code_scanning,https://github.com/multiversx/mx-chain-go/security/code-scanning/21,medium,
multiversx/mx-chain-go,code_scanning,https://github.com/multiversx/mx-chain-go/security/code-scanning/20,medium,
multiversx/mx-chain-go,code_scanning,https://github.com/multiversx/mx-chain-go/security/code-scanning/19,medium,
multiversx/mx-chain-go,code_scanning,https://github.com/multiversx/mx-chain-go/security/code-scanning/18,medium,
multiversx/mx-chain-go,code_scanning,https://github.com/multiversx/mx-chain-go/security/code-scanning/17,critical,
multiversx/mx-chain-go,code_scanning,https://github.com/multiversx/mx-chain-go/security/code-scanning/16,critical,
multiversx/mx-chain-go,code_scanning,https://github.com/multiversx/mx-chain-go/security/code-scanning/14,high,
multiversx/mx-chain-go,code_scanning,https://github.com/multiversx/mx-chain-go/security/code-scanning/13,high,
multiversx/mx-chain-go,code_scanning,https://github.com/multiversx/mx-chain-go/security/code-scanning/12,high,
multiversx/mx-chain-go,code_scanning,https://github.com/multiversx/mx-chain-go/security/code-scanning/11,high,
multiversx/mx-chain-go,code_scanning,https://github.com/multiversx/mx-chain-go/security/code-scanning/10,high,
multiversx/mx-chain-go,code_scanning,https://github.com/multiversx/mx-chain-go/security/code-scanning/9,high,
multiversx/mx-chain-go,code_scanning,https://github.com/multiversx/mx-chain-go/security/code-scanning/8,high,
multiversx/mx-chain-go,code_scanning,https://github.com/multiversx/mx-chain-go/security/code-scanning/7,high,
multiversx/mx-chain-go,code_scanning,https://github.com/multiversx/mx-chain-go/security/code-scanning/6,high,
multiversx/mx-chain-go,code_scanning,https://github.com/multiversx/mx-chain-go/security/code-scanning/5,high,
multiversx/mx-chain-go,code_scanning,https://github.com/multiversx/mx-chain-go/security/code-scanning/4,high,
multiversx/mx-chain-go,code_scanning,https://github.com/multiversx/mx-chain-go/security/code-scanning/3,high,
multiversx/mx-chain-go,code_scanning,https://github.com/multiversx/mx-chain-go/security/code-scanning/2,high,
multiversx/mx-chain-go,code_scanning,https://github.com/multiversx/mx-chain-go/security/code-scanning/1,high,
multiversx/mx-chain-vm-go,dependabot,https://github.com/multiversx/mx-chain-vm-go/security/dependabot/18,medium,
multiversx/mx-chain-vm-go,dependabot,https://github.com/multiversx/mx-chain-vm-go/security/dependabot/17,high,
multiversx/mx-chain-vm-go,dependabot,https://github.com/multiversx/mx-chain-vm-go/security/dependabot/16,critical,
multiversx/mx-chain-vm-go,dependabot,https://github.com/multiversx/mx-chain-vm-go/security/dependabot/15,medium,
multiversx/mx-chain-proxy-go,dependabot,https://github.com/multiversx/mx-chain-proxy-go/security/dependabot/22,medium,
multiversx/mx-chain-proxy-go,dependabot,https://github.com/multiversx/mx-chain-proxy-go/security/dependabot/21,high,
multiversx/mx-chain-proxy-go,dependabot,https://github.com/multiversx/mx-chain-proxy-go/security/dependabot/20,medium,
multiversx/mx-chain-proxy-go,dependabot,https://github.com/multiversx/mx-chain-proxy-go/security/dependabot/17,critical,
multiversx/mx-chain-proxy-go,code_scanning,https://github.com/multiversx/mx-chain-proxy-go/security/code-scanning/8,high,
multiversx/mx-chain-proxy-go,code_scanning,https://github.com/multiversx/mx-chain-proxy-go/security/code-scanning/7,high,
multiversx/mx-chain-proxy-go,code_scanning,https://github.com/multiversx/mx-chain-proxy-go/security/code-scanning/6,high,
multiversx/mx-chain-proxy-go,code_scanning,https://github.com/multiversx/mx-chain-proxy-go/security/code-scanning/2,high,
multiversx/mx-chain-proxy-go,code_scanning,https://github.com/multiversx/mx-chain-proxy-go/security/code-scanning/1,high,
multiversx/mx-multi-factor-auth-go-service,dependabot,https://github.com/multiversx/mx-multi-factor-auth-go-service/security/dependabot/20,medium,
multiversx/mx-multi-factor-auth-go-service,dependabot,https://github.com/multiversx/mx-multi-factor-auth-go-service/security/dependabot/19,high,
multiversx/mx-multi-factor-auth-go-service,dependabot,https://github.com/multiversx/mx-multi-factor-auth-go-service/security/dependabot/18,medium,
multiversx/mx-multi-factor-auth-go-service,dependabot,https://github.com/multiversx/mx-multi-factor-auth-go-service/security/dependabot/14,high,
multiversx/mx-multi-factor-auth-go-service,code_scanning,https://github.com/multiversx/mx-multi-factor-auth-go-service/security/code-scanning/1,medium,
multiversx/mx-sdk-js-core,code_scanning,https://github.com/multiversx/mx-sdk-js-core/security/code-scanning/4,medium,
multiversx/mx-sdk-js-core,code_scanning,https://github.com/multiversx/mx-sdk-js-core/security/code-scanning/3,medium,
multiversx/mx-sdk-js-core,code_scanning,https://github.com/multiversx/mx-sdk-js-core/security/code-scanning/2,medium,
multiversx/mx-sdk-js-core,code_scanning,https://github.com/multiversx/mx-sdk-js-core/security/code-scanning/1,medium,
multiversx/mx-sdk-py-cli,code_scanning,https://github.com/multiversx/mx-sdk-py-cli/security/code-scanning/7,medium,
multiversx/mx-sdk-py-cli,code_scanning,https://github.com/multiversx/mx-sdk-py-cli/security/code-scanning/6,medium,
multiversx/mx-sdk-py-cli,code_scanning,https://github.com/multiversx/mx-sdk-py-cli/security/code-scanning/5,medium,
multiversx/mx-sdk-py-cli,code_scanning,https://github.com/multiversx/mx-sdk-py-cli/security/code-scanning/4,medium,
multiversx/mx-sdk-py-cli,code_scanning,https://github.com/multiversx/mx-sdk-py-cli/security/code-scanning/3,medium,
multiversx/mx-sdk-py-cli,code_scanning,https://github.com/multiversx/mx-sdk-py-cli/security/code-scanning/2,medium,
multiversx/mx-sdk-py-cli,code_scanning,https://github.com/multiversx/mx-sdk-py-cli/security/code-scanning/1,medium,
multiversx/mx-sdk-py,code_scanning,https://github.com/multiversx/mx-sdk-py/security/code-scanning/4,medium,
multiversx/mx-sdk-py,code_scanning,https://github.com/multiversx/mx-sdk-py/security/code-scanning/3,medium,
multiversx/mx-sdk-py,code_scanning,https://github.com/multiversx/mx-sdk-py/security/code-scanning/2,medium,
multiversx/mx-sdk-py,code_scanning,https://github.com/multiversx/mx-sdk-py/security/code-scanning/1,medium,
multiversx/mx-api-service,dependabot,https://github.com/multiversx/mx-api-service/security/dependabot/130,high,
multiversx/mx-api-service,dependabot,https://github.com/multiversx/mx-api-service/security/dependabot/129,high,
multiversx/mx-api-service,dependabot,https://github.com/multiversx/mx-api-service/security/dependabot/128,high,
multiversx/mx-api-service,dependabot,https://github.com/multiversx/mx-api-service/security/dependabot/127,high,
multiversx/mx-api-service,dependabot,https://github.com/multiversx/mx-api-service/security/dependabot/126,medium,
multiversx/mx-api-service,dependabot,https://github.com/multiversx/mx-api-service/security/dependabot/125,low,
multiversx/mx-api-service,dependabot,https://github.com/multiversx/mx-api-service/security/dependabot/121,high,
multiversx/mx-api-service,dependabot,https://github.com/multiversx/mx-api-service/security/dependabot/114,high,
multiversx/mx-api-service,dependabot,https://github.com/multiversx/mx-api-service/security/dependabot/111,low,
multiversx/mx-api-service,dependabot,https://github.com/multiversx/mx-api-service/security/dependabot/110,low,
multiversx/mx-api-service,dependabot,https://github.com/multiversx/mx-api-service/security/dependabot/109,low,
multiversx/mx-api-service,dependabot,https://github.com/multiversx/mx-api-service/security/dependabot/108,low,
multiversx/mx-api-service,dependabot,https://github.com/multiversx/mx-api-service/security/dependabot/107,high,
multiversx/mx-api-service,dependabot,https://github.com/multiversx/mx-api-service/security/dependabot/106,high,
multiversx/mx-api-service,dependabot,https://github.com/multiversx/mx-api-service/security/dependabot/104,high,
multiversx/mx-api-service,dependabot,https://github.com/multiversx/mx-api-service/security/dependabot/102,medium,
multiversx/mx-api-service,dependabot,https://github.com/multiversx/mx-api-service/security/dependabot/94,high,
multiversx/mx-api-service,dependabot,https://github.com/multiversx/mx-api-service/security/dependabot/93,critical,
multiversx/mx-api-service,dependabot,https://github.com/multiversx/mx-api-service/security/dependabot/91,medium,
multiversx/mx-api-service,dependabot,https://github.com/multiversx/mx-api-service/security/dependabot/90,critical,
multiversx/mx-api-service,dependabot,https://github.com/multiversx/mx-api-service/security/dependabot/89,medium,
multiversx/mx-api-service,dependabot,https://github.com/multiversx/mx-api-service/security/dependabot/87,medium,
multiversx/mx-api-service,dependabot,https://github.com/multiversx/mx-api-service/security/dependabot/84,medium,
multiversx/mx-api-service,dependabot,https://github.com/multiversx/mx-api-service/security/dependabot/83,high,
multiversx/mx-api-service,dependabot,https://github.com/multiversx/mx-api-service/security/dependabot/73,critical,
multiversx/mx-api-service,dependabot,https://github.com/multiversx/mx-api-service/security/dependabot/65,high,
multiversx/mx-api-service,dependabot,https://github.com/multiversx/mx-api-service/security/dependabot/56,medium,
multiversx/mx-api-service,dependabot,https://github.com/multiversx/mx-api-service/security/dependabot/51,medium,
multiversx/mx-api-service,dependabot,https://github.com/multiversx/mx-api-service/security/dependabot/46,medium,
multiversx/mx-api-service,dependabot,https://github.com/multiversx/mx-api-service/security/dependabot/44,high,
multiversx/mx-api-service,dependabot,https://github.com/multiversx/mx-api-service/security/dependabot/27,high,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/173,critical,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/172,critical,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/169,high,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/168,medium,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/166,medium,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/164,medium,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/162,high,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/161,medium,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/159,high,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/158,medium,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/145,medium,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/144,medium,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/139,low,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/137,medium,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/127,medium,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/125,medium,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/115,high,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/105,high,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/103,high,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/93,medium,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/92,low,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/88,high,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/86,medium,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/81,medium,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/80,high,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/47,medium,
